"topic" "term" "beta"
"1" 1 "activ" 0.000225330257449306
"2" 1 "inhal" 0.000203688786158648
"3" 1 "integr" 0.000190303247939991
"4" 1 "organ" 0.00018987492566476
"5" 1 "oxid" 0.000170807587021058
"6" 1 "dispers" 0.000161487578856162
"7" 1 "homogen" 0.000157526086935781
"8" 1 "absorb" 0.00015751962341981
"9" 1 "cooper" 0.000156413659166146
"10" 1 "termin" 0.000146329910537883
"11" 2 "depend" 0.000196701023081045
"12" 2 "gener" 0.000183992771626943
"13" 2 "design" 0.000182754211711651
"14" 2 "equal" 0.000168205223035515
"15" 2 "commun" 0.000159504066238161
"16" 2 "individu" 0.000153504324633912
"17" 2 "predict" 0.00015292869038789
"18" 2 "margin" 0.000152853257657007
"19" 2 "compar" 0.000152565151190031
"20" 2 "irrit" 0.000152245108804571
