"topic" "term" "beta"
"1" 1 "commun" 0.000182751066196379
"2" 1 "toler" 0.000173097769869005
"3" 1 "dispens" 0.000169743758931655
"4" 1 "initi" 0.000165420316507773
"5" 1 "matur" 0.000160285675472138
"6" 1 "inhal" 0.000156342215284519
"7" 1 "potenti" 0.000155582444064349
"8" 1 "hypersensit" 0.000155034708788744
"9" 1 "compar" 0.000150340580539495
"10" 1 "express" 0.000147182843672002
"11" 2 "gener" 0.000222551424933801
"12" 2 "organ" 0.000191662611878885
"13" 2 "adapt" 0.000190374703118058
"14" 2 "local" 0.000179237017187184
"15" 2 "attend" 0.000165431262273697
"16" 2 "interpret" 0.000164983119818619
"17" 2 "stimul" 0.000163446352601788
"18" 2 "homogen" 0.000161821213898902
"19" 2 "optim" 0.00014745999296469
"20" 2 "compet" 0.000145029538239892
