"topic" "term" "beta"
"1" 1 "activ" 0.000122425212989704
"2" 1 "individu" 0.00011710000538637
"3" 1 "multipl" 0.000116189094931089
"4" 1 "implant" 0.000113605674379854
"5" 1 "bing" 9.91826134491119e-05
"6" 1 "origin" 9.65237989142315e-05
"7" 1 "affect" 9.50971769395732e-05
"8" 1 "determin" 9.48191889437629e-05
"9" 1 "potenti" 9.37455298056859e-05
"10" 1 "dispens" 9.25787626958853e-05
"11" 2 "gener" 0.000196079334972893
"12" 2 "determin" 0.000166684931344204
"13" 2 "induc" 0.000140087007960724
"14" 2 "activ" 0.000121350060793543
"15" 2 "posit" 0.000115202905105862
"16" 2 "appreci" 0.00010438475751798
"17" 2 "compet" 0.000102003272879646
"18" 2 "confront" 9.74022443772981e-05
"19" 2 "remedi" 9.72517761373903e-05
"20" 2 "integr" 9.58261091388035e-05
"21" 3 "integr" 0.000175104142035999
"22" 3 "coregul" 0.000114086904294626
"23" 3 "origin" 0.000113721521764989
"24" 3 "conserv" 0.000112548325358135
"25" 3 "collagen" 0.000111628194966622
"26" 3 "oxid" 0.000108008843830696
"27" 3 "attain" 9.70959515029322e-05
"28" 3 "crystal" 9.4987781506001e-05
"29" 3 "polit" 9.04514940536843e-05
"30" 3 "prolifer" 8.94689932676231e-05
"31" 4 "depend" 0.00027033217599475
"32" 4 "toler" 0.000141531691617324
"33" 4 "orient" 0.000130041824863887
"34" 4 "social" 0.000129952787942876
"35" 4 "adapt" 0.000122977164204888
"36" 4 "integr" 0.000120849235630038
"37" 4 "immun" 0.000118639417650679
"38" 4 "discontinu" 0.00011706934972339
"39" 4 "human" 0.000111992496855546
"40" 4 "intern" 0.000107393249517418
"41" 5 "initi" 0.000172560597525334
"42" 5 "steril" 0.00014073109475464
"43" 5 "fraction" 0.000134357430999032
"44" 5 "differenti" 0.000134356936983196
"45" 5 "intern" 0.000126221911442752
"46" 5 "adher" 0.000126180794375785
"47" 5 "natur" 0.000107400337044716
"48" 5 "determin" 0.000107066574413223
"49" 5 "covari" 0.000105860890899874
"50" 5 "reflect" 0.000100191765458202
"51" 6 "gener" 0.000216505908545072
"52" 6 "design" 0.000157703937662229
"53" 6 "commun" 0.000147310288538586
"54" 6 "infect" 0.000142888896808925
"55" 6 "correl" 0.000134980180310141
"56" 6 "human" 0.000127882849722164
"57" 6 "instal" 0.000121707083720671
"58" 6 "condens" 0.000119041805763058
"59" 6 "discrimin" 0.000109101970930461
"60" 6 "associ" 0.000108599659610939
"61" 7 "conform" 0.000169183773474843
"62" 7 "continu" 0.000152454142907204
"63" 7 "figur" 0.000129720123132298
"64" 7 "adapt" 0.000123829971756121
"65" 7 "hypersensit" 0.00012239778197728
"66" 7 "fraction" 0.000115027872277708
"67" 7 "observ" 0.000111396061673432
"68" 7 "dispers" 0.000109909183771725
"69" 7 "converg" 0.000103919285880662
"70" 7 "fertil" 0.000103274017773275
"71" 8 "descend" 0.000161020987920399
"72" 8 "adapt" 0.000156664842930868
"73" 8 "predomin" 0.000147554127777813
"74" 8 "model" 0.000128792668637568
"75" 8 "dismiss" 0.000119422237137866
"76" 8 "correct" 0.00011209349124553
"77" 8 "metastas" 0.000104197399010067
"78" 8 "interpret" 9.89579880265127e-05
"79" 8 "activ" 9.84118075347267e-05
"80" 8 "determin" 9.75126360117273e-05
"81" 9 "excit" 0.000186285979604588
"82" 9 "commun" 0.000155701837613863
"83" 9 "activ" 0.000149293717229111
"84" 9 "perturb" 0.0001309883169976
"85" 9 "inhibit" 0.000128481894683674
"86" 9 "applic" 0.000123121754215327
"87" 9 "infect" 0.000119901765504144
"88" 9 "abnorm" 0.000117875804708251
"89" 9 "aspir" 0.000114717872915723
"90" 9 "oxid" 0.00011252548739019
"91" 10 "enhanc" 0.000141520381696469
"92" 10 "escap" 0.000139089527647485
"93" 10 "correct" 0.000138247238536752
"94" 10 "challeng" 0.000132167833582503
"95" 10 "inform" 0.000131383856256749
"96" 10 "fraction" 0.000127024757430364
"97" 10 "valid" 0.000119142823145892
"98" 10 "design" 0.000118135210642479
"99" 10 "revers" 0.000104313138769564
"100" 10 "conform" 0.000104303439221421
"101" 11 "initi" 0.000160844119498253
"102" 11 "inhibit" 0.000131962832805832
"103" 11 "carbon" 0.000113334661753383
"104" 11 "hypermut" 0.000109027119426335
"105" 11 "conduct" 0.000105702865910323
"106" 11 "conserv" 0.000101479783846026
"107" 11 "commun" 0.000100258138203336
"108" 11 "interpret" 9.876975833183e-05
"109" 11 "ferment" 9.3174092533001e-05
"110" 11 "hydroxyl" 9.24884960804366e-05
