"topic" "term" "beta"
"1" 1 "bing" 0.000185249137798963
"2" 1 "individu" 0.000177960896202629
"3" 1 "violat" 0.000174604180771207
"4" 1 "resuspend" 0.00016715668066766
"5" 1 "activ" 0.000155022353810961
"6" 1 "introvert" 0.000146367808001631
"7" 1 "nucleat" 0.000142842980555474
"8" 1 "dispens" 0.000139945233940891
"9" 1 "represent" 0.00013272879694081
"10" 1 "alter" 0.000130603665748397
"11" 2 "confront" 0.000234853758759427
"12" 2 "determin" 0.000213388674712033
"13" 2 "appreci" 0.000199734811531983
"14" 2 "remedi" 0.000191037337999539
"15" 2 "induc" 0.000190042225021912
"16" 2 "navig" 0.000156709442953028
"17" 2 "activ" 0.000152478406229727
"18" 2 "produc" 0.000146048931876367
"19" 2 "gener" 0.000145514628950955
"20" 2 "reveal" 0.000144368383097318
"21" 3 "integr" 0.000327614571185895
"22" 3 "plastic" 0.000185026029081369
"23" 3 "educ" 0.000144422568955153
"24" 3 "oxid" 0.000139095979071925
"25" 3 "origin" 0.00013447462294683
"26" 3 "injur" 0.000131270858310049
"27" 3 "institut" 0.00012864408222202
"28" 3 "rotat" 0.000127411154249523
"29" 3 "util" 0.000123693932729074
"30" 3 "reorgan" 0.000121295756764761
"31" 4 "depend" 0.000270161726664901
"32" 4 "social" 0.000179474986078812
"33" 4 "discontinu" 0.000177570921507679
"34" 4 "ration" 0.000159652418205046
"35" 4 "human" 0.000153815300272686
"36" 4 "integr" 0.000144563808874773
"37" 4 "adapt" 0.000139430681195206
"38" 4 "mobil" 0.00013914700305851
"39" 4 "toler" 0.000134623682354567
"40" 4 "correl" 0.000129810136657065
"41" 5 "initi" 0.000209617464378763
"42" 5 "covari" 0.000187878659203941
"43" 5 "composit" 0.000180748052959859
"44" 5 "memori" 0.00016126632710495
"45" 5 "unfold" 0.000153330005175003
"46" 5 "colon" 0.000146697784532271
"47" 5 "differenti" 0.000145591393259127
"48" 5 "steril" 0.000144061243738202
"49" 5 "intern" 0.000138441780748844
"50" 5 "product" 0.000135288684995954
"51" 6 "correl" 0.000252353949822339
"52" 6 "human" 0.000229890914283669
"53" 6 "parallel" 0.000183168788760116
"54" 6 "commun" 0.000168300636180159
"55" 6 "gener" 0.000167731280755099
"56" 6 "standard" 0.000164500234749641
"57" 6 "condens" 0.00015891073898632
"58" 6 "problemat" 0.000158450932588068
"59" 6 "associ" 0.000152735050865063
"60" 6 "instal" 0.000152374724163028
"61" 7 "conform" 0.000214678266515597
"62" 7 "hypersensit" 0.000188416632038371
"63" 7 "reflex" 0.000143119975138451
"64" 7 "corrobor" 0.000142476605334529
"65" 7 "adapt" 0.000140937912565291
"66" 7 "continu" 0.000139333789327057
"67" 7 "distinguish" 0.000132957027577428
"68" 7 "fertil" 0.000132128442139806
"69" 7 "observ" 0.000131730599637962
"70" 7 "region" 0.000128577679201135
"71" 8 "descend" 0.000304897008185958
"72" 8 "adapt" 0.000219890174662451
"73" 8 "predomin" 0.00016743819812235
"74" 8 "model" 0.000161195587410175
"75" 8 "increas" 0.000152374096509698
"76" 8 "occur" 0.00015099124375317
"77" 8 "imag" 0.000146709560612551
"78" 8 "dissoci" 0.000145238093189051
"79" 8 "combin" 0.000144734505941466
"80" 8 "correct" 0.000142613133379831
"81" 9 "excit" 0.000344609058263447
"82" 9 "activ" 0.000239229026001304
"83" 9 "applic" 0.000224039394611742
