"topic" "term" "beta"
"1" 1 "individu" 0.000278597231957934
"2" 1 "violat" 0.000238423421597196
"3" 1 "resuspend" 0.000230983155701396
"4" 1 "nucleat" 0.000223951107888273
"5" 1 "dispens" 0.000223820682069207
"6" 1 "alter" 0.00021141711693433
"7" 1 "complet" 0.000203955573481648
"8" 1 "report" 0.00019942760958612
"9" 1 "sulfur" 0.000197467378167425
"10" 1 "corpor" 0.000184347362003586
"11" 2 "remedi" 0.000411748212541946
"12" 2 "navig" 0.000354971489520781
"13" 2 "determin" 0.000273786009896863
"14" 2 "produc" 0.000263645003877294
"15" 2 "induc" 0.000242105693738263
"16" 2 "reveal" 0.000236238205477477
"17" 2 "eosinophil" 0.000226361062842386
"18" 2 "appreci" 0.00019439215105688
"19" 2 "threaten" 0.000189231961976749
"20" 2 "distribut" 0.000184007575987966
"21" 3 "integr" 0.000724309808149391
"22" 3 "plastic" 0.000375377587569601
"23" 3 "rotat" 0.000251420124476967
"24" 3 "liquid" 0.000209611258251348
"25" 3 "injur" 0.000206369255370155
"26" 3 "educ" 0.000197157563988228
"27" 3 "attain" 0.000186436967361037
"28" 3 "oxid" 0.000182537362165955
"29" 3 "altern" 0.000174472921803769
"30" 3 "reorgan" 0.00016300737129619
"31" 4 "ration" 0.000308940184968199
"32" 4 "social" 0.000232410791529861
"33" 4 "discontinu" 0.000225748990636923
"34" 4 "aerogen" 0.000218827780021991
"35" 4 "infiltr" 0.000185737217128374
"36" 4 "depend" 0.000183542768080635
"37" 4 "saccad" 0.000181731639857153
"38" 4 "matur" 0.000177596986663084
"39" 4 "mobil" 0.000173904343773058
"40" 4 "insert" 0.000170210482702787
"41" 5 "covari" 0.000336327242341522
"42" 5 "memori" 0.000278451278423589
"43" 5 "initi" 0.000256748576832516
"44" 5 "intern" 0.000206990706285806
"45" 5 "steril" 0.00020641480716766
"46" 5 "composit" 0.000197273368026897
"47" 5 "colon" 0.000182775965922938
"48" 5 "beat" 0.000180588355339383
"49" 5 "perform" 0.000171609294755335
"50" 5 "evolv" 0.000165739192626464
"51" 6 "correl" 0.000442060743520595
"52" 6 "standard" 0.000347795390132248
"53" 6 "concord" 0.000324267775118737
"54" 6 "parallel" 0.000279350924944023
"55" 6 "human" 0.000229076531143416
"56" 6 "commun" 0.000228158516760868
"57" 6 "intertwin" 0.000227423099965986
"58" 6 "anod" 0.000217911137387721
"59" 6 "magnet" 0.000215428152522477
"60" 6 "problemat" 0.000209419705580709
"61" 7 "conform" 0.00040185604770697
"62" 7 "corrobor" 0.000295377516919698
"63" 7 "reflex" 0.0002879714823275
"64" 7 "hypersensit" 0.000282502837729925
"65" 7 "continu" 0.000199566995205482
"66" 7 "advis" 0.00019062933324607
"67" 7 "anthracyclin" 0.000173743287900825
"68" 7 "unit" 0.000173636553366852
"69" 7 "indigen" 0.000171546525710427
"70" 7 "immunogen" 0.000169662766394956
"71" 8 "adapt" 0.000397009156486577
"72" 8 "occur" 0.000286243689773104
"73" 8 "increas" 0.000273597877886802
"74" 8 "progress" 0.000238877135534329
"75" 8 "descend" 0.000232646409951164
"76" 8 "combin" 0.000217864934408849
"77" 8 "conjug" 0.000197566735739058
"78" 8 "imag" 0.000197040878636819
"79" 8 "dissoci" 0.000196970009561477
"80" 8 "elect" 0.000194913443606937
"81" 9 "activ" 0.000373978044749499
"82" 9 "chimer" 0.000357992890467321
"83" 9 "dissemin" 0.000347986184548022
"84" 9 "applic" 0.000297612754407542
"85" 9 "commun" 0.000279269742090449
"86" 9 "excit" 0.000244754958459324
"87" 9 "oncogen" 0.000228054048524472
"88" 9 "oxid" 0.000215877435112924
"89" 9 "effect" 0.000194653229245664
"90" 9 "immort" 0.000191093151912485
"91" 10 "correct" 0.000401035452543687
"92" 10 "insur" 0.000251695482218584
"93" 10 "challeng" 0.000239327121842004
"94" 10 "sector" 0.000206435732202731
"95" 10 "covari" 0.000203889687612028
"96" 10 "develop" 0.000191538496101082
"97" 10 "valid" 0.000190763763864011
"98" 10 "mistrust" 0.000183173820571527
"99" 10 "syncop" 0.000171987165216589
"100" 10 "inform" 0.000171179603694924
"101" 11 "hypermut" 0.000470623889557011
"102" 11 "displac" 0.000447009703032236
"103" 11 "convict" 0.000248726319119777
"104" 11 "carbon" 0.000227326727715299
"105" 11 "subsid" 0.00022580813844074
"106" 11 "initi" 0.00020391358580139
"107" 11 "ambul" 0.000202627548504057
"108" 11 "revis" 0.000202571971731306
"109" 11 "remov" 0.000192983053047845
"110" 11 "advanc" 0.000182412097557214
"111" 12 "linear" 0.000340902473126242
"112" 12 "affect" 0.000313755771840487
"113" 12 "monoclon" 0.000268049475024133
"114" 12 "dispers" 0.000261299708874353
"115" 12 "sign" 0.000218458342518308
"116" 12 "indic" 0.000216725453100809
"117" 12 "regular" 0.000212929469706659
"118" 12 "disconfirm" 0.00021136884123284
"119" 12 "inhibit" 0.000207753202969735
"120" 12 "cast" 0.000202760512306332
"121" 13 "transloc" 0.000347488627744074
"122" 13 "infect" 0.000260320716108
"123" 13 "alloc" 0.000259576537158588
"124" 13 "justifi" 0.000254156018296795
"125" 13 "social" 0.000240406274456398
"126" 13 "figur" 0.000223253654300812
"127" 13 "hydrolys" 0.000205216596776605
"128" 13 "margin" 0.000195665090359027
