"topic" "term" "beta"
"1" 1 "differenti" 0.00793826950195658
"2" 1 "adapt" 0.00774450137160321
"3" 1 "select" 0.00608258870545205
"4" 1 "affect" 0.00592572596037529
"5" 1 "phosphoryl" 0.00535530941092077
"6" 1 "perform" 0.00474173047374035
"7" 1 "antigen" 0.0047242274670835
"8" 1 "standard" 0.00471666705376131
"9" 1 "project" 0.00438242697420724
"10" 1 "highlight" 0.00370476050064999
"11" 2 "origin" 0.00753297635258904
"12" 2 "impair" 0.0058726629592238
"13" 2 "adjust" 0.00582275379030675
"14" 2 "popul" 0.00469404874035806
"15" 2 "score" 0.00460090469326583
"16" 2 "accompani" 0.00447346431713829
"17" 2 "numer" 0.00446111569919538
"18" 2 "classifi" 0.00431110896330001
"19" 2 "plai" 0.00408219863642698
"20" 2 "reactiv" 0.00381546537435672
"21" 3 "defin" 0.00471117586413714
"22" 3 "code" 0.00467968701680856
"23" 3 "transduc" 0.0046732419725844
"24" 3 "interpret" 0.00458131084817313
"25" 3 "scan" 0.00397537426433614
"26" 3 "cycl" 0.00354084639292368
"27" 3 "specif" 0.00351580359431105
"28" 3 "jump" 0.00342598896057622
"29" 3 "challeng" 0.00330240723501428
"30" 3 "releas" 0.00327209730566794
"31" 4 "persist" 0.00812948508379262
"32" 4 "optim" 0.00703006243353856
"33" 4 "explor" 0.00611541123182792
"34" 4 "exist" 0.00584480155820298
"35" 4 "mechan" 0.00582690479519637
"36" 4 "favour" 0.00578746942632797
"37" 4 "determin" 0.00540384228569659
"38" 4 "altern" 0.00539454664214371
"39" 4 "individu" 0.00503022706041425
"40" 4 "pattern" 0.00473616234929972
"41" 5 "infect" 0.00811767811878071
"42" 5 "relat" 0.00705818035699643
"43" 5 "label" 0.00686248869604206
"44" 5 "toler" 0.00614829622920386
"45" 5 "disabl" 0.00506637274753504
"46" 5 "custom" 0.0047408490999378
"47" 5 "random" 0.00469839217225673
"48" 5 "period" 0.00463499156068754
"49" 5 "enabl" 0.00441926778334357
"50" 5 "illumin" 0.00439503956084557
"51" 6 "connect" 0.00819725548829469
"52" 6 "local" 0.00533118489544447
