"topic" "term" "beta"
"1" 1 "report" 0.00587701290302083
"2" 1 "alter" 0.00568163135816346
"3" 1 "favour" 0.00538277602949991
"4" 1 "individu" 0.0048719969203815
"5" 1 "tag" 0.00452901836046737
"6" 1 "complet" 0.00417246751232747
"7" 1 "restor" 0.00387533436914129
"8" 1 "commit" 0.00337228938093602
"9" 1 "public" 0.00315575331425265
"10" 1 "disord" 0.0031538240990862
"11" 2 "induc" 0.00703470821987739
"12" 2 "produc" 0.00682925808817733
"13" 2 "investig" 0.00512422833984142
"14" 2 "reveal" 0.00457377006253551
"15" 2 "vaccin" 0.00424064706923186
"16" 2 "appreci" 0.00343255086354786
"17" 2 "mesoderm" 0.00340168099993523
"18" 2 "compet" 0.00335633268008337
"19" 2 "concern" 0.00333131739553972
"20" 2 "ident" 0.00332846460062336
"21" 3 "integr" 0.00880718962420322
"22" 3 "altern" 0.00460452841136193
"23" 3 "formul" 0.00389006582883723
"24" 3 "requir" 0.00379518952380391
"25" 3 "util" 0.00357412850454516
"26" 3 "improv" 0.00347497083280152
"27" 3 "plastic" 0.00341206897309013
"28" 3 "institut" 0.00336023823239711
"29" 3 "rotat" 0.00330220285776632
"30" 3 "suit" 0.00327888248849012
"31" 4 "depend" 0.00855091058227459
"32" 4 "ration" 0.00529615105003363
"33" 4 "insert" 0.00505239419248049
"34" 4 "packag" 0.00439354979694269
"35" 4 "transport" 0.00426819210973878
"36" 4 "resembl" 0.00402427135910913
"37" 4 "aim" 0.0039289990107866
"38" 4 "mobil" 0.00381851376892493
"39" 4 "consider" 0.00340414861141331
"40" 4 "meet" 0.00336835204743084
"41" 5 "initi" 0.00652891554389456
"42" 5 "colon" 0.00617809508622089
"43" 5 "differenti" 0.00588065104880406
"44" 5 "composit" 0.00570298405237363
"45" 5 "metagenom" 0.00550410575730938
"46" 5 "product" 0.00442046645387358
"47" 5 "retriev" 0.00407944322610645
"48" 5 "address" 0.00406074351632488
"49" 5 "underpin" 0.00404543430087329
"50" 5 "reflect" 0.00363999376283902
"51" 6 "correl" 0.00772962485887508
"52" 6 "associ" 0.00607494361211847
"53" 6 "standard" 0.00561268026510012
"54" 6 "design" 0.00487003985592041
"55" 6 "persist" 0.00448948441163315
