"topic" "term" "beta"
"1" 1 "degrad" 0.00137333761285741
"2" 1 "achiev" 0.00124686130879793
"3" 1 "activ" 0.00118422500347702
"4" 1 "gener" 0.00117546655268397
"5" 1 "hospit" 0.00112978443935509
"6" 1 "induc" 0.00109714145079838
"7" 1 "overexpress" 0.00106226450969015
"8" 1 "affect" 0.00105823011519229
"9" 1 "differenti" 0.00105539463339018
"10" 1 "adapt" 0.00104834044581519
"11" 2 "origin" 0.00138984171551523
"12" 2 "constitut" 0.00137691251164504
"13" 2 "produc" 0.00131587582603792
"14" 2 "reflect" 0.00131173871222503
"15" 2 "recommend" 0.00106888873286808
"16" 2 "impair" 0.00103715501751396
"17" 2 "observ" 0.00102701641746036
"18" 2 "investig" 0.00102545618153438
"19" 2 "sampl" 0.00101470757363543
"20" 2 "associ" 0.00099883335326891
"21" 3 "ration" 0.00144175881669662
"22" 3 "activ" 0.0013533439613666
"23" 3 "investig" 0.00113899447969541
"24" 3 "revers" 0.00113350850867668
"25" 3 "sensit" 0.00113260453347303
"26" 3 "modifi" 0.00106782573234637
"27" 3 "occup" 0.00106639137015695
"28" 3 "enhanc" 0.00100599974357515
"29" 3 "converg" 0.00100348967161065
"30" 3 "measur" 0.000970803426683516
"31" 4 "stimul" 0.00149355066643676
"32" 4 "optim" 0.00135378493649406
"33" 4 "integr" 0.00126512522532401
"34" 4 "explor" 0.00123717394663225
"35" 4 "oper" 0.00122629981784935
"36" 4 "disrupt" 0.00122410198061449
"37" 4 "organ" 0.00121399409154881
"38" 4 "persist" 0.00114092190885977
"39" 4 "favour" 0.0011012222055576
"40" 4 "distinguish" 0.00110040960955366
"41" 5 "activ" 0.00229502428064733
"42" 5 "initi" 0.0017548595883408
"43" 5 "depend" 0.00157012144691245
"44" 5 "produc" 0.00135382064953064
"45" 5 "explor" 0.00111263421472539
"46" 5 "emerg" 0.00110556766599199
"47" 5 "fulfil" 0.00106382373354977
"48" 5 "infect" 0.00105570852220081
"49" 5 "modul" 0.00105455094785206
"50" 5 "toler" 0.00104435959996218
"51" 6 "connect" 0.00188881583538148
"52" 6 "local" 0.00110671621062374
"53" 6 "modifi" 0.00109081808366782
"54" 6 "evalu" 0.00107875226977108
"55" 6 "sensit" 0.00106733297024598
"56" 6 "modul" 0.00106133989808957
"57" 6 "regul" 0.0010589182460069
"58" 6 "induc" 0.00105264858637065
"59" 6 "consist" 0.00103133022710912
"60" 6 "enhanc" 0.000989106026806942
"61" 7 "advanc" 0.00173883379556633
"62" 7 "depend" 0.0015298554556018
"63" 7 "oper" 0.00134379295129362
"64" 7 "prevent" 0.00123790496299642
"65" 7 "compet" 0.00122328356220154
"66" 7 "associ" 0.00122160097742787
"67" 7 "manag" 0.00115255908321322
"68" 7 "investig" 0.00110363161188106
"69" 7 "establish" 0.00109950337524574
"70" 7 "promot" 0.00102235183406962
