"topic" "term" "beta"
"1" 1 "differenti" 0.00934148630422909
"2" 1 "select" 0.00867516724291627
"3" 1 "affect" 0.00668316487057704
"4" 1 "phosphoryl" 0.00665032246288163
"5" 1 "standard" 0.00659943953547045
"6" 1 "project" 0.00643881506298882
"7" 1 "secret" 0.00593869788572393
"8" 1 "perform" 0.00534661599793392
"9" 1 "antigen" 0.00534632257578122
"10" 1 "tune" 0.0051223679606071
"11" 2 "origin" 0.0104932067725248
"12" 2 "adjust" 0.00669788351286567
"13" 2 "classifi" 0.00636730940439165
"14" 2 "impair" 0.00589915800929367
"15" 2 "popul" 0.00535949509245082
"16" 2 "score" 0.0053425173772757
"17" 2 "numer" 0.00533125741849738
"18" 2 "accompani" 0.00531399809219564
"19" 2 "reactiv" 0.0053076927153452
"20" 2 "plai" 0.00523649272190939
"21" 3 "transduc" 0.00658062367915163
"22" 3 "specif" 0.00640679009152928
"23" 3 "code" 0.00535114674154551
"24" 3 "defin" 0.00535076445417071
"25" 3 "interpret" 0.00534302493126425
"26" 3 "cycl" 0.00530979182957811
"27" 3 "conduct" 0.0052170105944797
"28" 3 "challeng" 0.00478866639576894
"29" 3 "scan" 0.00462673665645069
"30" 3 "releas" 0.00451736389995403
"31" 4 "persist" 0.00935439140139078
"32" 4 "determin" 0.00805546133760046
"33" 4 "demonstr" 0.00804578173768272
"34" 4 "optim" 0.00801383817657632
"35" 4 "explor" 0.00795207500431028
"36" 4 "exist" 0.00667937977539273
"37" 4 "favour" 0.00667543137614325
"38" 4 "altern" 0.00665541072725352
"39" 4 "mechan" 0.00665475352549193
"40" 4 "individu" 0.00627351415954728
"41" 5 "relat" 0.00911110022419578
"42" 5 "infect" 0.00894326146416743
"43" 5 "toler" 0.00853456293048364
"44" 5 "label" 0.0079302787890279
"45" 5 "disabl" 0.00666610917082007
"46" 5 "sequenc" 0.00594216409410102
"47" 5 "compar" 0.0056073166175007
"48" 5 "custom" 0.00535140443534632
"49" 5 "random" 0.0053511893256441
"50" 5 "period" 0.00534411523885509
"51" 6 "connect" 0.00933770202239736
"52" 6 "regul" 0.00858151362280503
"53" 6 "local" 0.00747333419899554
"54" 6 "program" 0.00656186406039746
"55" 6 "test" 0.00587795354180789
"56" 6 "attenu" 0.00580147006282851
"57" 6 "applic" 0.00533823171800033
"58" 6 "respond" 0.00515848657279943
"59" 6 "mobil" 0.00509545472092466
"60" 6 "maxim" 0.00492758409610902
"61" 7 "prevent" 0.00997203344105724
"62" 7 "promot" 0.0091067962460908
"63" 7 "manag" 0.00802341425185153
"64" 7 "compet" 0.00801728438533536
"65" 7 "result" 0.00652199643655444
"66" 7 "isol" 0.00530239902308001
"67" 7 "account" 0.00525549467506694
"68" 7 "extens" 0.00524007107886279
"69" 7 "compens" 0.00523395857540002
"70" 7 "review" 0.0047175801468317
"71" 8 "initi" 0.0119372679092481
"72" 8 "evalu" 0.00933310231937864
"73" 8 "collect" 0.00803244447779604
"74" 8 "converg" 0.00669230684725716
"75" 8 "character" 0.00637435334186806
"76" 8 "manipul" 0.0062004427986393
"77" 8 "screen" 0.00534603219439221
"78" 8 "abrog" 0.00528863792319789
"79" 8 "search" 0.00521322864546529
"80" 8 "branch" 0.00519293107172271
"81" 9 "potenti" 0.00934454211123478
"82" 9 "predict" 0.00918444881925588
"83" 9 "induc" 0.00918023873016291
"84" 9 "transform" 0.00813715898775408
"85" 9 "examin" 0.00800589930489303
"86" 9 "associ" 0.00798467931195878
"87" 9 "alter" 0.00727869187655061
"88" 9 "express" 0.00653488088651751
"89" 9 "engag" 0.00579624402123136
"90" 9 "fibril" 0.00533292414524236
"91" 10 "activ" 0.0142445691035078
"92" 10 "degrad" 0.00919018227856532
"93" 10 "recommend" 0.00801135647262427
"94" 10 "enter" 0.00798221038976108
"95" 10 "gener" 0.00711621479928208
"96" 10 "deplet" 0.00668714670880268
"97" 10 "support" 0.00667268150244208
"98" 10 "manifest" 0.00651019883867885
"99" 10 "effect" 0.00596907514798868
"100" 10 "direct" 0.00534578992709509
"101" 11 "emerg" 0.0106116407938772
"102" 11 "advanc" 0.00781330800924473
"103" 11 "replic" 0.00760908827395305
"104" 11 "restrict" 0.00740358598458321
"105" 11 "complet" 0.00652084372862208
"106" 11 "util" 0.00622174179793028
"107" 11 "assess" 0.00561948978184486
"108" 11 "foster" 0.00533615343722827
"109" 11 "grade" 0.00531894177771648
"110" 11 "clone" 0.00524594192384833
"111" 12 "person" 0.00792251947895406
"112" 12 "investig" 0.00579228770556544
"113" 12 "sampl" 0.00535689884255751
"114" 12 "condens" 0.00534683782810516
"115" 12 "product" 0.0052656354995925
"116" 12 "assist" 0.00526141111187085
"117" 12 "metabol" 0.00513375853891096
"118" 12 "map" 0.0051321757551726
"119" 12 "profil" 0.0051185901717491
"120" 12 "repeat" 0.00509799175211082
"121" 13 "discuss" 0.00786278901567806
"122" 13 "occur" 0.00666767992712328
"123" 13 "train" 0.00664046063128602
"124" 13 "exploit" 0.00661598540870974
"125" 13 "accumul" 0.00657860603201996
"126" 13 "adher" 0.00533213788319248
"127" 13 "step" 0.00532450358774694
"128" 13 "occupi" 0.00528159232044544
"129" 13 "appli" 0.0049802984641097
"130" 13 "recruit" 0.00495168630487481
"131" 14 "measur" 0.00758587741391686
"132" 14 "achiev" 0.00667619129365066
"133" 14 "retriev" 0.00655651739043218
"134" 14 "expect" 0.00534916217036458
"135" 14 "model" 0.00533417101964199
"136" 14 "trigger" 0.00520034007530597
"137" 14 "subject" 0.0048488843228744
"138" 14 "infer" 0.00462297792366962
"139" 14 "phenotyp" 0.00446272651575415
"140" 14 "genom" 0.00427845212549539
"141" 15 "posit" 0.00915155909614467
"142" 15 "confer" 0.00664284570447426
"143" 15 "remodel" 0.00576070095836539
"144" 15 "differ" 0.00551031185529769
"145" 15 "regener" 0.00534528396637569
"146" 15 "recogn" 0.00527563932594428
"147" 15 "extract" 0.0051324736515916
"148" 15 "escap" 0.00401174424939766
"149" 15 "memori" 0.00401147287880126
"150" 15 "plan" 0.00401096030106136
"151" 16 "integr" 0.00866835841352269
