"topic" "term" "beta"
"1" 1 "gener" 0.00140125050626284
"2" 1 "depend" 0.00116321477669666
"3" 1 "degrad" 0.00114404108897044
"4" 1 "integr" 0.00108372194673015
"5" 1 "organ" 0.00101727501370153
"6" 1 "repress" 0.00101658203924961
"7" 1 "activ" 0.000966054404883524
"8" 1 "prevent" 0.000961132034955663
"9" 1 "collect" 0.000953859613296283
"10" 1 "character" 0.000929967006074116
"11" 2 "local" 0.00129131475063387
"12" 2 "identifi" 0.00122950058798042
"13" 2 "produc" 0.00112320137375684
"14" 2 "label" 0.00107857115098723
"15" 2 "consist" 0.00107419125897483
"16" 2 "recommend" 0.00106829100743534
"17" 2 "modul" 0.00106525990838123
"18" 2 "origin" 0.0010575527004847
"19" 2 "reflect" 0.00103781458250797
"20" 2 "transform" 0.00101066873783873
"21" 3 "modifi" 0.00148325990310075
"22" 3 "improv" 0.00110539846851048
"23" 3 "activ" 0.00106664447635868
"24" 3 "converg" 0.00105759078267085
"25" 3 "implic" 0.00101693268415601
"26" 3 "progress" 0.00100382626471063
"27" 3 "persist" 0.00100235513775413
"28" 3 "predict" 0.00100065050323023
"29" 3 "detect" 0.000962332427321971
"30" 3 "favour" 0.000938858921633859
