"topic" "term" "beta"
"1" 1 "activ" 0.00114328637978237
"2" 1 "organ" 0.0010931006989883
"3" 1 "integr" 0.00107707506950077
"4" 1 "prevent" 0.00106579494607136
"5" 1 "modifi" 0.00103131550245646
"6" 1 "gener" 0.00097619181658416
"7" 1 "depend" 0.000959724012738986
"8" 1 "progress" 0.000903743646022562
"9" 1 "initi" 0.000856649231660989
"10" 1 "compet" 0.000837885195027625
"11" 2 "origin" 0.00109939464761783
"12" 2 "stimul" 0.00108832692483078
"13" 2 "connect" 0.00103252368458857
"14" 2 "reflect" 0.0010066328968984
"15" 2 "function" 0.000985566024565042
"16" 2 "termin" 0.00092595275897288
"17" 2 "identifi" 0.000913056874702541
"18" 2 "label" 0.000888321750843826
"19" 2 "local" 0.000887806862570019
"20" 2 "protect" 0.000876571449480668
