"topic" "term" "beta"
"1" 1 "activ" 0.00195019718407092
"2" 1 "acceler" 0.00146090139445931
"3" 1 "report" 0.00133386576154061
"4" 1 "effect" 0.00124291753383919
"5" 1 "progress" 0.00121085866710073
"6" 1 "advanc" 0.00120027007739195
"7" 1 "origin" 0.00111398037055487
"8" 1 "screen" 0.00110890892184998
"9" 1 "interact" 0.00110418349849287
"10" 1 "potenti" 0.00105600922172932
"11" 2 "activ" 0.00194809818781798
"12" 2 "induc" 0.00176064350940189
"13" 2 "modul" 0.00153698271268954
"14" 2 "determin" 0.00118841331542736
"15" 2 "posit" 0.00116620777039328
"16" 2 "compet" 0.00113473789651681
"17" 2 "modifi" 0.00111372596234956
"18" 2 "gener" 0.00109541783119598
"19" 2 "measur" 0.00109127871150082
"20" 2 "restrict" 0.00106475762630276
"21" 3 "deriv" 0.00172393182215396
"22" 3 "modul" 0.00140367882734951
"23" 3 "origin" 0.00126974777983054
"24" 3 "influenc" 0.00126762977950381
"25" 3 "person" 0.00118646649115039
"26" 3 "substitut" 0.00112175075982449
"27" 3 "integr" 0.00109540270922125
"28" 3 "oxid" 0.00107652712571038
"29" 3 "diverg" 0.0010753726734447
"30" 3 "challeng" 0.00105567089257535
"31" 4 "depend" 0.00309045225474181
"32" 4 "revers" 0.00171677044866338
"33" 4 "organ" 0.00138533273507706
"34" 4 "constitut" 0.001356366315019
"35" 4 "demonstr" 0.00131610400439125
"36" 4 "adapt" 0.00124829218384736
"37" 4 "correl" 0.00123141986362988
"38" 4 "immun" 0.00122530655546837
"39" 4 "develop" 0.00116601215427744
"40" 4 "model" 0.00116311219586807
"41" 5 "initi" 0.00292536240065143
"42" 5 "enhanc" 0.0014846910358612
"43" 5 "reflect" 0.00146596928828881
"44" 5 "mediat" 0.00146181908991934
"45" 5 "emerg" 0.00140354642121697
"46" 5 "revers" 0.00127208208988459
"47" 5 "differenti" 0.00115954308685368
"48" 5 "evalu" 0.00110683565928273
"49" 5 "prevent" 0.00102650059216736
"50" 5 "particip" 0.00102615396223625
"51" 6 "design" 0.00242698681487836
"52" 6 "translat" 0.00179525820088484
"53" 6 "infect" 0.00149646136043187
"54" 6 "correl" 0.00148643820176802
"55" 6 "persist" 0.00136690997730371
"56" 6 "commun" 0.00126247965506922
"57" 6 "restrict" 0.00124141748290903
"58" 6 "gener" 0.00118062310276834
"59" 6 "transform" 0.00116528109985013
"60" 6 "develop" 0.00106566349040622
"61" 7 "observ" 0.00150720423537565
"62" 7 "converg" 0.00135154981639708
"63" 7 "identifi" 0.00131039373544358
"64" 7 "connect" 0.00129372550711636
"65" 7 "valid" 0.0012591276621881
"66" 7 "adapt" 0.00125786424065699
"67" 7 "impair" 0.00112705723091818
"68" 7 "document" 0.00111805254734822
"69" 7 "relat" 0.00110009371520775
"70" 7 "implic" 0.00106271821628511
