"topic" "term" "beta"
"1" 1 "advanc" 0.00219470635979004
"2" 1 "origin" 0.00176813301620445
"3" 1 "acceler" 0.00173921110817252
"4" 1 "activ" 0.00170092706321278
"5" 1 "manag" 0.00161870681808894
"6" 1 "repress" 0.00151698302105598
"7" 1 "report" 0.00151671340139894
"8" 1 "potenti" 0.00149348681445326
"9" 1 "contribut" 0.00132305567537317
"10" 1 "tag" 0.00120023289549055
"11" 2 "induc" 0.0028351944521174
"12" 2 "modifi" 0.00191552696015858
"13" 2 "compet" 0.00187561861486283
"14" 2 "activ" 0.00168766290116483
"15" 2 "produc" 0.00163035477615353
"16" 2 "gener" 0.00158933868201852
"17" 2 "investig" 0.00152978465198192
"18" 2 "determin" 0.00145404873952698
"19" 2 "reveal" 0.00142959054926945
"20" 2 "posit" 0.00141062316372914
"21" 3 "origin" 0.00239343261834646
"22" 3 "integr" 0.00177657642988981
"23" 3 "crystal" 0.00146779660231055
"24" 3 "substitut" 0.00144625978321953
"25" 3 "sensit" 0.0013910564844816
"26" 3 "diverg" 0.00131613907481229
"27" 3 "exist" 0.00124092268245627
"28" 3 "investig" 0.00120129978831916
"29" 3 "requir" 0.00117819104442252
"30" 3 "replic" 0.00116967928919609
"31" 4 "depend" 0.00440053229590442
"32" 4 "organ" 0.0021442813487331
"33" 4 "toler" 0.00154086997456074
"34" 4 "correl" 0.0014775330891614
"35" 4 "immun" 0.00144845409694461
"36" 4 "ration" 0.00143085218533119
"37" 4 "hormon" 0.0012865173013649
"38" 4 "success" 0.00126969353140054
"39" 4 "adapt" 0.00121955259590055
"40" 4 "termin" 0.0011363017020252
"41" 5 "initi" 0.00364676780574035
"42" 5 "differenti" 0.00185069347862174
"43" 5 "composit" 0.00176722059379393
"44" 5 "exclus" 0.00167594088581331
"45" 5 "reflect" 0.00163229269530901
"46" 5 "mediat" 0.00137380118470502
"47" 5 "estim" 0.00131865831281099
"48" 5 "colon" 0.00119531123859965
"49" 5 "ration" 0.00116509534695097
"50" 5 "controversi" 0.00116009329736585
"51" 6 "design" 0.00257979422228132
"52" 6 "correl" 0.00218485209450477
"53" 6 "gener" 0.00183501653417121
"54" 6 "restrict" 0.00168945760529218
"55" 6 "persist" 0.00154560408660072
"56" 6 "infect" 0.00149503563454397
"57" 6 "condens" 0.00147564107437653
"58" 6 "associ" 0.00144303363995596
"59" 6 "commun" 0.00142285318323772
"60" 6 "translat" 0.00138491697181489
"61" 7 "converg" 0.0027166466525561
"62" 7 "impair" 0.00215556066331203
"63" 7 "identifi" 0.00174277076727078
"64" 7 "observ" 0.00160491917823651
"65" 7 "regul" 0.00152685371147039
"66" 7 "continu" 0.00139589414556124
"67" 7 "connect" 0.00130200413943256
"68" 7 "distinguish" 0.00127689739873084
"69" 7 "implic" 0.00123522149432055
"70" 7 "transduc" 0.00123178726700652
"71" 8 "modul" 0.00259660410958162
"72" 8 "progress" 0.00195660949961915
"73" 8 "adapt" 0.00164143890176607
"74" 8 "mediat" 0.00148937206935601
"75" 8 "sign" 0.00142987566709238
"76" 8 "evalu" 0.00140922714640147
"77" 8 "increas" 0.00134548113874001
"78" 8 "model" 0.00133579375149807
"79" 8 "activ" 0.00132766592077619
"80" 8 "predomin" 0.00131145234176287
"81" 9 "inhibit" 0.0023394966745826
"82" 9 "effect" 0.00220322839532792
"83" 9 "activ" 0.00212126340494229
"84" 9 "limit" 0.00183735452143208
"85" 9 "emerg" 0.00154199627232366
"86" 9 "deriv" 0.00151364143077045
"87" 9 "reflect" 0.00149778632816871
"88" 9 "commun" 0.00145588696850962
"89" 9 "excit" 0.00145419784222783
"90" 9 "demonstr" 0.00145253843255201
"91" 10 "enhanc" 0.00327657304264462
"92" 10 "challeng" 0.00213500902674035
"93" 10 "connect" 0.00183739747193504
"94" 10 "inform" 0.00172724266544236
"95" 10 "identifi" 0.00170130792850533
"96" 10 "design" 0.00169765231690996
"97" 10 "valid" 0.00168999376710331
"98" 10 "revers" 0.00154574571658792
"99" 10 "deriv" 0.00138977284262632
"100" 10 "learn" 0.00131877134515853
