"topic" "term" "beta"
"1" 1 "affect" 0.00223833871972383
"2" 1 "antigen" 0.00187903877770922
"3" 1 "adapt" 0.00165088700646386
"4" 1 "perform" 0.0015668061803124
"5" 1 "describ" 0.00151754061070735
"6" 1 "achiev" 0.00149408143841322
"7" 1 "hospit" 0.00146567171012731
"8" 1 "differenti" 0.00145095639372065
"9" 1 "select" 0.0014083681157515
"10" 1 "gener" 0.00140742991424127
"11" 2 "produc" 0.0020469282954339
"12" 2 "popul" 0.00197673971865535
"13" 2 "origin" 0.00185891304625411
"14" 2 "adjust" 0.0018373743556499
"15" 2 "fate" 0.00167686254469842
"16" 2 "impair" 0.00146629130155689
"17" 2 "conjug" 0.00144516713579794
"18" 2 "investig" 0.00137690956138104
"19" 2 "repeat" 0.0013308337344925
"20" 2 "sampl" 0.0013290448537151
"21" 3 "load" 0.00185551885269289
"22" 3 "investig" 0.00174834850871409
"23" 3 "revers" 0.00158907285705642
"24" 3 "modifi" 0.00150432010096963
"25" 3 "transduc" 0.00149935911019602
"26" 3 "set" 0.00145493415461504
"27" 3 "ration" 0.00142952568964872
"28" 3 "enhanc" 0.00137887135462106
"29" 3 "compar" 0.00126680836599762
"30" 3 "jump" 0.00126570932074958
"31" 4 "optim" 0.00262721154870467
"32" 4 "explor" 0.00261488987149384
"33" 4 "persist" 0.00222292158066647
"34" 4 "favour" 0.00219367363431157
"35" 4 "organ" 0.00191277630338777
"36" 4 "confer" 0.0018903776721617
"37" 4 "recruit" 0.00179058400845261
"38" 4 "correl" 0.00164260362013527
"39" 4 "function" 0.00161637158618
"40" 4 "stimul" 0.0016009992226921
"41" 5 "produc" 0.00235427700293663
"42" 5 "period" 0.00208993557821477
"43" 5 "activ" 0.0020843434201535
"44" 5 "depend" 0.00189313389423594
"45" 5 "infect" 0.00185225730623522
"46" 5 "custom" 0.00181682011654654
"47" 5 "institut" 0.00180265574391238
"48" 5 "intent" 0.00176911214392541
"49" 5 "expand" 0.0017462904335173
"50" 5 "explor" 0.00160864952367906
"51" 6 "connect" 0.00207645301153364
"52" 6 "regul" 0.00184585393508438
"53" 6 "local" 0.00179657760373858
"54" 6 "applic" 0.00176535271714664
"55" 6 "consist" 0.00168671988397177
"56" 6 "antagon" 0.00164705776959952
"57" 6 "modifi" 0.00156952733427666
"58" 6 "gate" 0.00138701066451061
"59" 6 "conjug" 0.00134211697012414
"60" 6 "demonstr" 0.00132143050394459
"61" 7 "manag" 0.00340002925127203
"62" 7 "compet" 0.0021085500497637
"63" 7 "depend" 0.00181173851283988
"64" 7 "advanc" 0.00173546061757409
"65" 7 "oper" 0.00168465693567556
"66" 7 "investig" 0.00162613072543982
"67" 7 "promot" 0.00147166162660621
"68" 7 "locat" 0.00135156836451707
"69" 7 "organ" 0.00134445661700451
"70" 7 "adher" 0.0013394404573739
"71" 8 "initi" 0.00241668201695777
"72" 8 "collect" 0.00203759247442898
"73" 8 "delet" 0.00175431360522529
"74" 8 "oxid" 0.00170950965792285
"75" 8 "converg" 0.00166579313910959
"76" 8 "evalu" 0.00165766661901229
"77" 8 "immunolog" 0.00163398625094223
"78" 8 "implic" 0.00157983575753978
"79" 8 "seed" 0.00149700014918892
"80" 8 "commit" 0.00148175402350204
"81" 9 "enrol" 0.00288922675682406
"82" 9 "associ" 0.00272877585768363
"83" 9 "examin" 0.00252345041732753
"84" 9 "alter" 0.00249628461604714
"85" 9 "disrupt" 0.00233122062670762
"86" 9 "oper" 0.00210088754129987
"87" 9 "underpin" 0.00171225711423383
"88" 9 "potenti" 0.00166685509672023
"89" 9 "transform" 0.00157892958396244
"90" 9 "overexpress" 0.00152001919305271
"91" 10 "reflect" 0.00396124407147967
"92" 10 "activ" 0.00335997705003355
"93" 10 "degrad" 0.00264156583259779
"94" 10 "avoid" 0.00251459669581727
"95" 10 "recommend" 0.00172153271895995
"96" 10 "hospit" 0.00165970729443913
"97" 10 "gener" 0.00162093610746631
"98" 10 "train" 0.00159790801986707
"99" 10 "initi" 0.00151284338145957
"100" 10 "view" 0.00149653178861601
"101" 11 "complet" 0.00228385185834227
"102" 11 "emerg" 0.00196020004736855
"103" 11 "advanc" 0.00192574177487661
"104" 11 "grade" 0.00166340189332218
"105" 11 "microscop" 0.00165554480465459
"106" 11 "establish" 0.00158345115757786
"107" 11 "recommend" 0.00155475676055704
"108" 11 "origin" 0.00153345658714958
"109" 11 "restrict" 0.00153013318546312
"110" 11 "suppress" 0.00146062808070111
