"topic" "term" "beta"
"1" 1 "activ" 0.00163331839421401
"2" 1 "report" 0.00140400580085577
"3" 1 "acceler" 0.00131303861992626
"4" 1 "progress" 0.00126651919425094
"5" 1 "contribut" 0.00125048617947544
"6" 1 "emerg" 0.00113054349843751
"7" 1 "origin" 0.0010188662065901
"8" 1 "compar" 0.00101742935675283
"9" 1 "oper" 0.00101715686121856
"10" 1 "induc" 0.00101067425968423
"11" 2 "induc" 0.00180330763463657
"12" 2 "activ" 0.00163351867666979
"13" 2 "modul" 0.00140321272596604
"14" 2 "compet" 0.00126504821397252
"15" 2 "modifi" 0.00115841929686857
"16" 2 "determin" 0.00112292817539404
"17" 2 "adapt" 0.00105284040869639
"18" 2 "measur" 0.00101733984503085
"19" 2 "investig" 0.000989371760629568
"20" 2 "restrict" 0.000955398633685354
"21" 3 "deriv" 0.00137556338131129
"22" 3 "modul" 0.00130170394811526
"23" 3 "person" 0.00120575835851443
"24" 3 "origin" 0.00114294209764378
"25" 3 "influenc" 0.00110424899046514
"26" 3 "challeng" 0.0010770930069077
"27" 3 "oxid" 0.00106480507434741
"28" 3 "interpret" 0.00100894892967372
"29" 3 "diverg" 0.000972240350778497
"30" 3 "integr" 0.000962064537839466
"31" 4 "depend" 0.00299264228033546
"32" 4 "adapt" 0.00146732991180038
"33" 4 "revers" 0.00137986651698915
"34" 4 "organ" 0.00128211654514316
"35" 4 "demonstr" 0.00126474226613326
"36" 4 "immun" 0.00119924679270261
"37" 4 "constitut" 0.00113648583724474
"38" 4 "valid" 0.00112148662924254
"39" 4 "correl" 0.0010848032330943
"40" 4 "activ" 0.00104942709409246
"41" 5 "initi" 0.00253489106660056
"42" 5 "emerg" 0.00152381532468605
"43" 5 "reflect" 0.00130246480226403
"44" 5 "differenti" 0.00126651236870085
"45" 5 "exclus" 0.00121959716398643
"46" 5 "enhanc" 0.00120099697710199
"47" 5 "mediat" 0.00117240229777807
"48" 5 "revers" 0.00109131551240289
"49" 5 "evalu" 0.0010763456226107
"50" 5 "impair" 0.0010442627333315
"51" 6 "design" 0.00189655640614192
"52" 6 "translat" 0.00153708420033997
"53" 6 "infect" 0.00151909517968128
"54" 6 "correl" 0.00126416164463604
"55" 6 "observ" 0.00123279061047484
"56" 6 "transform" 0.00123082215938094
"57" 6 "maxim" 0.00120237506419055
"58" 6 "connect" 0.00109021013454539
"59" 6 "restrict" 0.00108793558139266
"60" 6 "persist" 0.00108568675222978
