"topic" "term" "beta"
"1" 1 "stai" 0.0250699142630727
"2" 1 "servic" 0.0146720916719569
"3" 1 "hotel" 0.0142942365053224
"4" 1 "night" 0.0113110833099483
"5" 1 "chicago" 0.0104906285111628
"6" 1 "desk" 0.0100253754516145
"7" 1 "staff" 0.00916806397304409
"8" 1 "arriv" 0.00840018838182405
"9" 1 "bed" 0.00811748997309989
"10" 1 "locat" 0.00798773570695293
"11" 2 "hotel" 0.0307190079503523
"12" 2 "stai" 0.0225176860110735
"13" 2 "chicago" 0.0165078075320447
"14" 2 "clean" 0.0104654898317323
"15" 2 "check" 0.00955559828085927
"16" 2 "staff" 0.00954838765464034
"17" 2 "time" 0.00932613055374668
"18" 2 "nice" 0.00904806535163891
"19" 2 "walk" 0.00840227342871219
"20" 2 "locat" 0.00771648523649435
