"topic" "term" "beta"
"1" 1 "translat" 0.00134661349726027
"2" 1 "reflect" 0.00124279545312018
"3" 1 "transform" 0.00119269300133107
"4" 1 "emerg" 0.00118109203262085
"5" 1 "intern" 0.00117571836013573
"6" 1 "particip" 0.00117421214822156
"7" 1 "potenti" 0.00112448876394736
"8" 1 "infect" 0.00108429626172748
"9" 1 "acceler" 0.0010718551007883
"10" 1 "develop" 0.00104545496337457
"11" 2 "mediat" 0.0013350485277906
"12" 2 "design" 0.00127457990429334
"13" 2 "restrict" 0.00123866020691777
"14" 2 "measur" 0.00123797276798108
"15" 2 "compet" 0.00123638123746184
"16" 2 "gener" 0.00117154408280411
"17" 2 "modifi" 0.00117133666963872
"18" 2 "local" 0.00117049932573056
"19" 2 "consist" 0.00110668077225612
"20" 2 "activ" 0.00104497371852602
"21" 3 "initi" 0.00167411438088626
"22" 3 "depend" 0.00147409003378719
"23" 3 "protect" 0.00124967529615631
"24" 3 "organ" 0.00124040236762166
"25" 3 "explor" 0.00114147502903524
"26" 3 "oxid" 0.00112816401109589
"27" 3 "constitut" 0.00111059320890641
"28" 3 "support" 0.000960705676910132
"29" 3 "observ" 0.000917909996748219
"30" 3 "stimul" 0.000913188900870491
